ATM;ADDRESS
Сауда орталыгы №1;Алматинская обл. , Талгарский район, п. Туздыбастау, ул. Жылкибая, 136
"ТРЦ ""Молл Апорт""";Алматинская область, Карасайский район, трасса Алматы-Бишкек
"гипермаркет ""Carrefour""";г. Алматы, ул. Кабдолова, 1/4
"ТРЦ ""MART""";кл. Рихарде Зорге, д. 18
"ТД ""RASH""";мкр. 4, 10а (по пр. Абая, уг. ул. Алтынсарина)
"АО ""Казкоммерцбанк"", РКО ""Айдос""";мкр. 8, д. 9, по ул. Алтынсарина
"ТЦ ""Белес""";мкр. Айнабулак - 2, д. 71 д
"ТОО ""Magnum Cash&Carry""";мкр. Ак-булак, ул. АЗТМ, 273
"АО ""Казкоммерцбанк"", РКО ""Тараз""";мкр. Аксай - 2, д. 12 (ул. Толе би уг. ул. Саина)
"Супермаркет ""Рамстор-Алмагуль""";мкр. Алмагуль, 18-А, по ул. Жарокова
"ТД ""Car City""";мкр. Баян аул, 57 А, (ул. Толе би, уг. ул. Яссауи)
"АО ""Казкоммерцбанк"", РКО ""Жетысу-4""";мкр. Жетысу-4, д. 13а (ул. Момышулы уг. пр. Абая)
"Отделение ""Есентай""";мкр. Коктем 2, д. 2, (ул. Тимирязева-бульвар Мусрепова)
"ТРЦ ""Спутник""";мкр. Мамыр-1, 8-А, по ул. Момыш улы, ниже ул. Шаляпина
"АО ""Казкоммерцбанк"", РКО ""Орбита-3""";мкр. Орбита 3, д. 52, по ул. Саина
"АО ""Казкоммерцбанк"", РКО ""Орбита-1""";мкр. Орбита-1, ул. Навои, 6
"ТД ""НУР""";мкр. Орбита-3, ул. Мустафина 5 б. 
"супермаркет ""Магнум""";мкр. Первомайский, ул. Капчагайская, 34
"ТРЦ ""Dostyk Plaza""";мкр. Самал-2, д. 111
"ТРЦ ""Ритц Палас""";мкр. Самал-3, д. 1, пр. Аль-Фараби, уг. пр. Достык
"ТД ""Саяхат""";м-н Заря Востока третий градокомплекс, 166
"ТРЦ ""Глобус"" со стороны Абая";пр. Абая, 109-В, уг. ул. Ауэзова
"ТД ""Арена""";пр. Абая, 141
"Торговый дом ""Променад"", ЦБС";пр. Абая, 44а, уг. ул. Байтурсынова
"АО ""Казкоммерцбанк"", РКО ""Абылай хана""";пр. Абылай хана, 147, уг. пр. Абая
"ТЦ ""Алтын Тараз""";пр. Абылай хана, 3 (возле ЖД Вокзала-2)
"АО ""Казкоммерцбанк"", РКО ""Столичный центр""";пр. Абылай Хана, 92, уг. ул. Кабанбай батыра
"АО ""Казкоммерцбанк"", Головной Банк";пр. Аль-Фараби, 34
"ТЦ ""Есентай Тауэрс""";пр. Аль-Фараби, 77/7
"АО ""Казкоммерцбанк"", РКО ""Фивы""";пр. Достык, 107, выше ул. Ходжы Мукана
"Супермаркет ""Ресей""";пр. Достык, 42, уг. ул. Кабанбай батыра
"АО ""Казкоммерцбанк"", РКО ""Достык""";пр. Достык, 48, уг. ул. Шевченко
"ТРЦ ""Maxima""";пр. Райымбека, 239 г, уг. ул. Боткина
"Торговый Комплекс ""Huseinoff""";пр. Суюнбая, 419 А, уг ул. Бекмаханова
"Отделение ""Орталык""";пр. Фурманова, 88
"Гипермаркет ""Рамстор""";ул Фурманова, д. 226 Б
"Супермаркет ""Рамстор""";ул. Алтынсарина, 11-А
"АО ""Казкоммерцбанк"", РКО ""Оптика""";ул. Ауэзова, 69, уг. ул. Курмангазы
"АО ""Казкоммерцбанк"", РКО ""Ахметова""";ул. Ахметова, 4, уг. ул. Майлина
"АО ""Казкоммерцбанк"", РКО ""Насихат""";ул. Байсеитовой, 49, ниже площади Республики
"АО ""Казкоммерцбанк"", РКО ""Тастак""";ул. Васнецова, д. 23-27/92, уг. ул. Туркебаева
"Супермаркет ""ИнтерФуд""";ул. Гоголя, 15, уг. ул. Калдаякова
"ТОО ""Magnum Cash&Carry""";ул. Демьяна Бедного, 3, уг. пр. Рыскулова
"АО ""Казкоммерцбанк""";ул. Джандосова, 25, уг. ул. Гагарина
"Магазин ""Sulpak""";ул. Джандосова, 34 а, уг. ул. Ауэзова
"ТД ""Массато""";ул. Джандосова, д. 162А
"ТД ""Mассато""";ул. Жандосова, 162А, уг. ул. Берегового
"АО ""Казкоммерцбанк"", Отделение ""Шебер""";ул. Жарокова, д. 127/99, уг. пр. Абая
"АО ""Казкоммерцбанк"", РКО ""Жибек Жолы""";ул. Жибек Жолы, 45/63, уг. ул. Валиханова
"ТЦ ""Квартал""";ул. Жибек Жолы, 52, уг. пр. Достык
"АО ""Казкоммерцбанк"", РКО ""Пушкина""";ул. Жибек Жолы, 60, уг. ул. Пушкина
"Торговый Пассаж ""Silk Way""";ул. Жибек Жолы, 70
"ТЦ ""Армада""";ул. Кабдолова, 1/8, уг. ул. Саина
АО «Казкоммерцбанк», «Динамо»;ул. Казыбек би, 53
"АО ""Казкоммерцбанк"", РКО ""Динамо""";ул. Казыбек би, 53, уг. ул. Тулебаева
ИП Хабибуллин;ул. Карасай батыра, 134, уг. ул. Байзакова
Международный Аэропорт Алматы;ул. Майлина, 1
"ТРЦ ""МEGA PARK""";ул. Макатаева, 127
"АО ""Казкоммерцбанк"", РКО ""Макатаева""";ул. Макатаева, 88. уг. ул. Панфилова. 
"АО ""Казкоммерцбанк"", РКО ""Масанчи""";ул. Масанчи, 99, уг. ул. Сатпаева
"ТД ""Атриум""";ул. Наурызбай батыра, д. 7 Б, уг. ул. Маметовa
"Супермаркет ""Магнум""";ул. Радостовца, 292
"ТРК ""Mega Center Alma-Ata""";ул. Розыбакиева, 247, уг. ул. Левитана
"АО ""Казкоммерцбанк"", РКО ""Айгерим""";ул. Розыбакиева, 281
"ТРЦ ""АДК"" (вход со стороны паркинга)";ул. Сатпаева, 90, уг. ул. Брусиловского
"ТОО ""Magnum Cash&Carry""";"ул. Северное кольцо, 3, в ТЦ ""Адем"""
"Супермаркет ""GREEN""";ул. Суюнбая, 2, ниже пр. Райымбека
ЦБО Мерей;ул. Суюнбая, д. 2
"Оптомаркет ""Арзан""";"ул. Ташкенсткая, 507 ""А"""
"ТРЦ ""Asia park""";ул. Ташкентская, 514 А (цокольный этаж)
"ТЦ ""Коктем""";ул. Тимирязева, 37
"Гипермаркет ""Рамстор-Атакент""";ул. Тимирязева, 42, уг. ул. Манаса
"АО ""Казкоммерцбанк"", РКО ""Толе би""";ул. Толе би, 101, уг. ул. Байтурсынова
"ТРК ""Сити Центр""";ул. Толе би, 136, уг. ул. Байзакова
"АО ""Казкоммерцбанк"", РКО ""Жумалиева""";ул. Толе би, 155-А, уг. ул. Жумалиева
"Магазин ""Sulpak""";Ул. Толе би, 187, уг. ул. Ауэзова
"Гипермаркет ""Silk Way City""";ул. Толе би, 71, уг. ул. Наурызбай батыра
"АО ""Казкоммерцбанк"", РКО ""Амбассадор""";ул. Толе би, 83, уг. ул. Сейфуллина
"АО ""Казкоммерцбанк"", РКО «Турксиб»";ул. Толстого, 8
"ТЦ ""Colibri""";ул. Уалиханова, 170
"Супермаркет ""GREEN""";ул. Улугбека, 70-Б, между ул. Саина и ул. Момыш улы
"АО ""Казкоммерцбанк"", VIP Центр. CDC-Центр";ул. Фурманова, 240г, уг. ул. Аль-фараби
"БЦ ""Аврора""";ул. Ходжанова, 79
"ТРЦ ""Манго""";ул. Шолохова, 29/9-А, уг. пр. Сейфуллина
"ТД ""Сатти""";ул. Яссауи, 68
