address,adm_name,x,y
"г. Алматы Сауда орталыгы №1 Алматинская обл. , Талгарский район, п. Туздыбастау, ул. Жылкибая, 136",Алматинская область,77.061276,43.316818
"г. Алматы Алматинская область, Карасайский район, трасса Алматы-Бишкек",Алматы,76.945456,43.238286
"г. Алматы гипермаркет ""Carrefour"" г. Алматы, ул. Кабдолова, 1/4",Алматы,76.849588,43.236795
"г. Алматы ТРЦ ""MART"" кл. Рихарде Зорге, д. 18",Алматы,76.953514,43.335863
"г. Алматы ТД ""RASH"" мкр. 4, 10а (по пр. Абая, уг. ул. Алтынсарина)",Алматы,76.945456,43.238286
"г. Алматы мкр. 8, д. 9, по ул. Алтынсарина",Алматы,76.865686,43.224893
"г. Алматы ТЦ ""Белес"" мкр. Айнабулак - 2, д. 71 д",Алматы,76.915417,43.319711
"г. Алматы мкр. Ак-булак, ул. АЗТМ, 273",Алматы,76.823285,43.249687
"г. Алматы мкр. Аксай - 2, д. 12 (ул. Толе би уг. ул. Саина)",Алматы,76.837119,43.240164
"г. Алматы Супермаркет ""Рамстор-Алмагуль"" мкр. Алмагуль, 18-А, по ул. Жарокова",Алматы,76.902858,43.205925
"г. Алматы мкр. Баян аул, 57 А, (ул. Толе би, уг. ул. Яссауи)",Алматы,76.822387,43.238805
"мкр. Жетысу-4, д. 13а (ул. Момышулы уг. пр. Абая)",Алматы,76.838332,43.217949
"г. Алматы Отделение ""Есентай"" мкр. Коктем 2, д. 2, (ул. Тимирязева-бульвар Мусрепова)",Атырауская область,51.954038,47.182926
"г. Алматы мкр. Орбита 3, д. 52, по ул. Саина",Алматы,76.870824,43.198597
"г. Алматы мкр. Орбита-1, ул. Навои, 6",Алматы,76.880715,43.220051
"г. Алматы ТД ""НУР"" мкр. Орбита-3, ул. Мустафина 5 б. ",Алматы,76.879511,43.198854
"г. Алматы мкр. Первомайский, ул. Капчагайская, 34",Алматы,76.991827,43.33286
"г. Алматы ТРЦ ""Dostyk Plaza"" мкр. Самал-2, д. 111",Алматы,76.956425,43.233432
"г. Алматы ТРЦ ""Ритц Палас"" мкр. Самал-3, д. 1, пр. Аль-Фараби, уг. пр. Достык",Алматы,76.959138,43.227843
"м-н Заря Востока третий градокомплекс, 166",Алматы,76.88385,43.28629
"ТРЦ ""Глобус"" со стороны Абая пр. Абая, 109-В, уг. ул. Ауэзова",Алматы,76.905724,43.240381
"г. Алматы ТД ""Арена"" пр. Абая, 141",Алматы,76.895995,43.239527
"пр. Абая, 44а, уг. ул. Байтурсынова",Алматы,76.925244,43.240132
"г. Алматы пр. Абылай хана, 147, уг. пр. Абая",Алматы,76.942537,43.243179
"г. Алматы ТЦ ""Алтын Тараз"" пр. Абылай хана, 3 (возле ЖД Вокзала-2)",Алматы,76.93809,43.272816
"г. Алматы пр. Абылай Хана, 92, уг. ул. Кабанбай батыра",Алматы,76.942941,43.250383
"г. Алматы пр. Аль-Фараби, 34",Алматы,76.944046,43.226949
"г. Алматы ТЦ ""Есентай Тауэрс"" пр. Аль-Фараби, 77/7",Алматы,76.929188,43.219066
"пр. Достык, 48, уг. ул. Шевченко",Алматы,76.957044,43.246351
"г. Алматы ТРЦ ""Maxima"" пр. Райымбека, 239 г, уг. ул. Боткина",Алматы,76.89975,43.264492
"г. Алматы Торговый Комплекс ""Huseinoff"" пр. Суюнбая, 419 А, уг ул. Бекмаханова",Алматы,76.969477,43.346268
"г. Алматы Отделение ""Орталык"" пр. Фурманова, 88",Тюменская область,69.496563,56.118811
